*BLT2016 input file for pmx                                                                                                                                                                                                                               ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
*Scientific name: LEONTOPITHECUS CHRYSOPYGUS                                                                                                                                                                                                              ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
*Common name: BLACK LION TAMARIN                                                                                                                                                                                                                          ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
*Exported on: 21/03/2017    19:38:49                                                                                                                                                                                                                      ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
*Software version: Sparks 1.65                                                                                                                                                                                                                            ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
*Scope: INTERNATIONAL                                                                                                                                                                                                                                     ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
*Current to: 21/03/2017                                                                                                                                                                                                                                   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
*Compiled by: Dominic Wormell, Durrell Wildlife Conservation Trust, dominic.wormell@durrell.org                                                                                                                                                           ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
**                                                                                                                                                                                                                                                        ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
*Filter conditions in effect:                                                                                                                                                                                                                             ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
*Dates: 01/01/1800 <= 21/03/2017                                                                                                                                                                                                                          ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
*                                                                                                                                                                                                                                                         ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
* ID:ID;Sire;Dam;Sex;ReproStat;Selected;Living;BirthType;AsstRep;Rearing;BirthLoc;BProgram;BCountry;DOB;DOBest;DOD;DODest;Necr1;Necr2;Necr3;Location;LocalID;Social;Program;Country;Name;Transponder;Tag;Tattoo;Color;LitSize;No_Litters;Lit_List;UDFs;   
* UDFs:                                                                                                                                                                                                                                                   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
* MULT: ID; Possible_Parent;                                                                                                                                                                                                                              ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
* MULTPROBS: ID; %Prob;                                                                                                                                                                                                                                   ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
* MOVE: ID; DateIn; DateInEst; InType; DateOut; DateOutEst; OutType;                                                                                                                                                                                      ;;;;;;;;;;;;;;;;;;;;;;;;;;;
* End of intro                                                                                                                                                                                                                                            ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
*                                                                                                                                                                                                                                                         ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ID:      1;WILD;WILD;Male;Fertile;True;False;WildBorn;NotAsstRep;Parent;M DIABO;LatinAm;Brazil;19710101;Y;19870101; ;Other;;;RIO PRIM;29;;LatinAm;Brazil;;;;;;0;14;2 2 2 2 1 1 1 1 2 3 2 3 2 1;                                                           ;
