Stud ,Sex,Birth Date,Sire,Dam,id_institute,Location,Date,LocalID,Event ID,Observations,NA,Event,Name,
1,M,1973,WILD,WILD,14,M DIABO,NA,1,2,Capture,NA,,
1,NA,NA,NA,NA,21,RIO PRIM,1973-11-01,29,3,Transfer,NA,,
1,NA,NA,NA,NA,21,RIO PRIM,1987-01-01,NA,6,Death,NA,,
1,NA,NA,NA,NA,21,RIO PRIM,NA,NA,[Death by Unknown means],,[Death by Unknown means],
2,F,????,WILD,WILD,14,M DIABO,1973-11-01,NA,2,Capture,NA,,
2,NA,NA,NA,NA,21,RIO PRIM,1973-11-01,30,3,Transfer,NA,,
2,NA,NA,NA,NA,21,RIO PRIM,1979-04-01,NA,6,Death,NA,,
2,NA,NA,NA,NA,21,RIO PRIM,NA,NA,[Death by Unknown means],,[Death by Unknown means],
3,M,????,WILD,WILD,14,M DIABO,1973-11-25,NA,2,Capture,NA,,
3,NA,NA,NA,NA,21,RIO PRIM,1973-11-25,31,3,Transfer,NA,,
3,NA,NA,NA,NA,21,RIO PRIM,1985-01-31,NA,6,Death,NA,,
3,NA,NA,NA,NA,21,RIO PRIM,NA,NA,[Death by Unknown means],,[Death by Unknown means],
4,F,????,WILD,WILD,14,M DIABO,1973-11-25,NA,2,Capture,NA,,
4,NA,NA,NA,NA,21,RIO PRIM,1973-11-25,32,3,Transfer,NA,,
4,NA,NA,NA,NA,21,RIO PRIM,1990-07-20,NA,6,Death,NA,,
4,NA,NA,NA,NA,21,RIO PRIM,NA,NA,[Death by Other /Unknown  Given to an institution RIO PRIM  Necropsy planned later],,[Death by Other /Unknown  Given to an institution RIO PRIM  Necropsy planned later],
5,M,????,WILD,WILD,14,M DIABO,1973-11-25,NA,2,Capture,NA,,
5,NA,NA,NA,NA,21,RIO PRIM,1973-11-25,33,3,Transfer,NA,,
5,NA,NA,NA,NA,21,RIO PRIM,1977-08-30,NA,6,Death,NA,,
5,NA,NA,NA,NA,21,RIO PRIM,NA,NA,[Death by Unknown means],,[Death by Unknown means],
